Company_Name,Website,Site_catagory,Sign_Up_Deal,Sign_Up_Deal_ifYes,Shipping_Cost,IsShopify,IsMagento,IsOther,CrawlType,InventoryPath,DetailPattern,PaginationPattern,Redirect_URL
3PM Bites,https://3pmbites.com/,Brand,,,,,,,B,https://www.amazon.com/dp/B07D6T6NF2/ref=dp_prsubs_2?th=1,,,
4th & Heart,www.forthandheart.com,Brand,,,,,,,C,,,,
A Dozen Cousins,https://adozencousins.com/,Brand,,,,,,,C,,,,
Abbey Farms,www.abbeyfarms.org,Retail,,,,,,,C,,,,
About Time,www.tryabouttime.com,Brand,,,,,,,C,,,,
Al Dente,www.aldentepasta.com,Brand,,,,,,,C,,,,
Alderspring Ranch Provisions,https://shopalderspring.com/,Brand,,,,,,,C,,,,
Aloha,www.aloha.com,Brand,,,,,,,C,,,,
Alpha Plant Based,https://alphaplantbased.com/,Brand,,,,,,,C,,,,
Alter Eco Foods,www.alterecofoods.com,Brand,,,,,,,C,,,,
Amazing Grass,shop.amazinggrass.com,Brand,,,,,,,C,,,,
Amrita,www.amritahealthfoods.com,Brand,,,,,,,C,,,,
Angelic Bakehouse,https://www.angelicbakehouse.com/,Brand,,,,,,,B,/goods/,"//div[@class=""product-carousel-wrapper""]//div[contains(@class, ""product"")]/a[1],,//div[contains(@class, ""boxes-module"")]/a",,
Angies boom chick a pop,https://boomchickapop.com/,Brand,,,,,,,C,,,,
Appalachian Naturals,www.appalachiannaturals.com,Brand,,,,,,,C,,,,
Athletic Greens,athleticgreens.com,Brand,,,,,,,C,,,,
Aura Cacia,https://www.auracacia.com/,Brand,,,,,,,C,,,,
Backcountry,https://www.backcountry.com/,Retail,,,,,,,C,,,,
Bakery on Main,www.bakeryonmain.com,Brand,,,,,,,C,,,,
Balance Bar,www.balance.com,Brand,,,,,,,C,,,,
Bar Harbor Foods,shop.barharborfoods.com,Brand,,,,,,,C,,,,
Bare Bones Broth,www.barebonesbroth.com,Brand,,,,,,,C,,,,
Bare Organics,www.bareorganics.com,Brand,,,,,,,C,,,,
Bark Thins,www.barkthins.com,Brand,,,,,,,C,,,,
Barleans,www.barleans.com,Brand,,,,,,,C,,,,
Barnana,www.barnana.com,Brand,,,,,,,C,,,,
Barney Butter,www.barneybutter.com,Brand,,,,,,,C,,,,
Bass Pro Shop,https://www.basspro.com/shop/en,Retail,,,,,,,C,,,,
Beanfields,www.beanfields.com ,Brand,,,,,,,C,,,,
Beanitos,https://www.beanitos.com/,Brand,,,,,,,C,,,,
Bearded Brothers,www.beardedbros.com,Brand,,,,,,,C,,,,
Bed Bath & Beyond,https://www.bedbathandbeyond.com/,Retail,,,,,,,C,,,,
Belgian Boys,www.belgianboys.com,Brand,,,,,,,C,,,,
Bella Lucia,www.glutenfreepizelles.com,Brand,,,,,,,C,,,,
Better Batter,shop.betterbatter.org,Brand,,,,,,,C,,,,
Betty Lous,www.bettylousinc.com,Brand,,,,,,,C,,,,
Beyond Meat,https://www.beyondmeat.com/,,,,,,,,C,,,,
Biena,www.bienasnacks.com,Brand,,,,,,,C,,,,
Big Lots,https://www.biglots.com/,Retail,,,,,,,C,,,,
Blain's Farm & Fleet,https://www.farmandfleet.com/,Retail,,,,,,,C,,,,
Blueprint Cleanse,https://blueprint.com/,Brand,,,,,,,C,,,,
Bob's Red Mill,https://www.bobsredmill.com/,Brand,,,,,,,C,,,,
Boku Superfood,https://bokusuperfood.com/,Brand,,,,,,,C,,,,
bon Cook,https://boncook.com/,Brand,,,,,,,C,,,,
Boxed,https://www.boxed.com/,Retail,,,,,,,C,,,,
Brami,https://bramisnacks.com/,Brand,,,,,,,C,,,,
Breville,https://www.breville.com/,Brand,,,,,,,C,,,,
Bubble Goods,https://bubblegoods.com/,Retail,,,,,,,C,,,,
Buff Bake,https://buffbake.com/,Brand,,,,,,,C,,,,
Bulletproof,https://shop.bulletproof.com/,Brand,,,,,,,C,,,,
Califia Farms,www.califiafarms.com,Brand,,,,,,,C,,,,
Califlour Foods,https://califlourfoods.com/,Brand,,,,,,,C,,,,
California Naturals,www.californianatural.us,Brand,,,,,,,C,,,,
California Olive Ranch,www.californiaoliveranch.com,Brand,,,,,,,C,,,,
Camerons Specialty Coffee,www.cameronscoffee.com,Brand,,,,,,,C,,,,
Carbo Pro,www.carbopro.com,Brand,,,,,,,C,,,,
Caribou Coffee,www.cariboucoffee.com,Brand,,,,,,,C,,,,
Caulipower,https://eatcaulipower.com/,Brand,,,,,,,C,,,,
Caveman Foods,www.cavemanfoods.com,Brand,,,,,,,C,,,,
Chimes,www.chimesgourmet.com,Brand,,,,,,,C,,,,
Chosen Foods,www.chosenfoods.com,Brand,,,,,,,C,,,,
CleanitSupply,https://www.cleanitsupply.com/,Retail,,,,,,,C,,,,
co-op market,https://www.coopmarket.com/,Retail,,,,,,,C,,,,
Coconut Secret,https://coconutsecret.com/,,,,,,,,C,,,,
Corine's Cuisine,https://www.corinescuisine.com/,,,,,,,,C,,,,
Crock-Pot,https://www.crock-pot.com/,Brand,,,,,,,C,,,,
Cuban Food Market,www.cubanfoodmarket.com,Retail,,,,,,,C,,,,
Curry Love,https://www.mikesorganicfoods.com/,,,,,,,,C,,,,
CVS,cvs.com,Retail,,,,,,,C,,,,
Da Vinci Laboratories,www.davincilabs.com,Brand,,,,,,,C,,,,
Daily Nuts and Fruits,www.dailynutsandfruits.com,Brand,,,,,,,C,,,,
Daily Wellness Company,www.dailywellness.com,Brand,,,,,,,C,,,,
Dandy Blend,www.dandyblend.com,Brand,,,,,,,C,,,,
Dang Foods,https://dangfoods.com/,Brand,,,,,,,C,,,,
Dang Foods,www.dangfoods.com,Brand,,,,,,,C,,,,
Date Lady,www.ilovedatelady.com,Brand,,,,,,,C,,,,
Dave's Killer Bread,http://www.daveskillerbread.com/,Brand,,,,,,,C,,,,
Daves Gourmet,www.davesgourmet.com,Brand,,,,,,,C,,,,
Daz Bog Coffee,www.dazbog.com,Brand,,,,,,,C,,,,
Debbys Bites,www.debbysbites.com,Brand,,,,,,,C,,,,
DeLand Bakery,www.delandbakery.com,Brand,,,,,,,C,,,,
dollar general,dollargeneral.com,Retail,,,,,,,C,,,,
